Student_ID,Name,Age,Gender,Department,Semester,Marks,Attendance
101,Ali,20,Male,Computer Science,5,85,92
102,Ahmed,21,Male,Software Engineering,6,78,88
103,Sara,20,Female,Computer Science,5,91,96
104,Ayesha,22,Female,Artificial Intelligence,7,88,90
105,Hamza,21,Male,Data Science,6,76,85
106,Zainab,20,Female,Computer Science,5,95,98
107,Usman,23,Male,Cyber Security,8,69,80
108,Maryam,21,Female,Software Engineering,6,84,91
109,Hassan,22,Male,Artificial Intelligence,7,73,82
110,Noor,20,Female,Data Science,5,89,94
